,States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2020,2,Insurance,6,1360.0
1,Andaman & Nicobar,2020,3,Insurance,41,15380.0
2,Andaman & Nicobar,2020,4,Insurance,124,157975.0
3,Andaman & Nicobar,2021,1,Insurance,225,244266.0
4,Andaman & Nicobar,2021,2,Insurance,137,181504.0
5,Andaman & Nicobar,2021,3,Insurance,230,305235.0
6,Andaman & Nicobar,2021,4,Insurance,757,1056380.0
7,Andaman & Nicobar,2022,1,Insurance,768,1131287.0
8,Andaman & Nicobar,2022,2,Insurance,501,779740.0
9,Andaman & Nicobar,2022,3,Insurance,643,902466.0
10,Andaman & Nicobar,2022,4,Insurance,901,1441210.0
11,Andaman & Nicobar,2023,1,Insurance,1004,1439198.0
12,Andaman & Nicobar,2023,2,Insurance,768,1233395.0
13,Andaman & Nicobar,2023,3,Insurance,795,1251145.0
14,Andaman & Nicobar,2023,4,Insurance,1145,1757821.0
15,Andaman & Nicobar,2024,1,Insurance,1371,1964556.0
16,Andhra Pradesh,2020,2,Insurance,22104,3982391.0
17,Andhra Pradesh,2020,3,Insurance,49812,12426481.0
18,Andhra Pradesh,2020,4,Insurance,21464,12985632.0
19,Andhra Pradesh,2021,1,Insurance,22105,12749874.0
20,Andhra Pradesh,2021,2,Insurance,33205,22730687.0
21,Andhra Pradesh,2021,3,Insurance,23075,19914338.0
22,Andhra Pradesh,2021,4,Insurance,25423,31610335.0
23,Andhra Pradesh,2022,1,Insurance,29954,42648157.0
24,Andhra Pradesh,2022,2,Insurance,32185,41708072.0
25,Andhra Pradesh,2022,3,Insurance,39301,48791931.0
26,Andhra Pradesh,2022,4,Insurance,44329,58043239.0
27,Andhra Pradesh,2023,1,Insurance,34920,51963355.0
28,Andhra Pradesh,2023,2,Insurance,36376,52067478.0
29,Andhra Pradesh,2023,3,Insurance,43150,57802396.0
30,Andhra Pradesh,2023,4,Insurance,41798,62342423.0
31,Andhra Pradesh,2024,1,Insurance,46582,63563802.0
32,Arunachal Pradesh,2020,2,Insurance,65,14329.0
33,Arunachal Pradesh,2020,3,Insurance,135,39687.0
34,Arunachal Pradesh,2020,4,Insurance,125,84247.0
35,Arunachal Pradesh,2021,1,Insurance,194,131611.0
36,Arunachal Pradesh,2021,2,Insurance,204,224928.0
37,Arunachal Pradesh,2021,3,Insurance,212,371051.0
38,Arunachal Pradesh,2021,4,Insurance,320,598459.0
39,Arunachal Pradesh,2022,1,Insurance,355,894107.0
40,Arunachal Pradesh,2022,2,Insurance,564,1360231.0
41,Arunachal Pradesh,2022,3,Insurance,510,1300304.0
42,Arunachal Pradesh,2022,4,Insurance,613,1464572.0
43,Arunachal Pradesh,2023,1,Insurance,606,1747475.0
44,Arunachal Pradesh,2023,2,Insurance,696,2095988.0
45,Arunachal Pradesh,2023,3,Insurance,718,1904786.0
46,Arunachal Pradesh,2023,4,Insurance,809,2105408.0
47,Arunachal Pradesh,2024,1,Insurance,1100,2419700.0
48,Assam,2020,2,Insurance,978,210034.0
49,Assam,2020,3,Insurance,2206,599450.0
50,Assam,2020,4,Insurance,2413,1806801.0
51,Assam,2021,1,Insurance,3167,2334419.0
52,Assam,2021,2,Insurance,3265,3008122.0
53,Assam,2021,3,Insurance,4495,6010865.0
54,Assam,2021,4,Insurance,8622,13962068.0
55,Assam,2022,1,Insurance,16230,27447766.0
56,Assam,2022,2,Insurance,9228,15357811.0
57,Assam,2022,3,Insurance,14149,22543564.0
58,Assam,2022,4,Insurance,18826,29239168.0
59,Assam,2023,1,Insurance,22100,36963888.0
