,States,Years,Quarter,Districts,Registered_users,Appopens
0,Andaman & Nicobar,2018,1,north and middle andaman district,632,0
1,Andaman & Nicobar,2018,1,south andaman district,5846,0
2,Andaman & Nicobar,2018,1,nicobars district,262,0
3,Andaman & Nicobar,2018,2,north and middle andaman district,911,0
4,Andaman & Nicobar,2018,2,south andaman district,8143,0
5,Andaman & Nicobar,2018,2,nicobars district,351,0
6,Andaman & Nicobar,2018,3,north and middle andaman district,1208,0
7,Andaman & Nicobar,2018,3,south andaman district,10474,0
8,Andaman & Nicobar,2018,3,nicobars district,467,0
9,Andaman & Nicobar,2018,4,north and middle andaman district,1553,0
10,Andaman & Nicobar,2018,4,south andaman district,13133,0
11,Andaman & Nicobar,2018,4,nicobars district,536,0
12,Andaman & Nicobar,2019,1,north and middle andaman district,2013,0
13,Andaman & Nicobar,2019,1,south andaman district,15961,0
14,Andaman & Nicobar,2019,1,nicobars district,622,0
15,Andaman & Nicobar,2019,2,north and middle andaman district,2417,6118
16,Andaman & Nicobar,2019,2,south andaman district,18621,43569
17,Andaman & Nicobar,2019,2,nicobars district,693,2953
18,Andaman & Nicobar,2019,3,north and middle andaman district,2662,22064
19,Andaman & Nicobar,2019,3,south andaman district,20518,138190
20,Andaman & Nicobar,2019,3,nicobars district,751,10853
21,Andaman & Nicobar,2019,4,north and middle andaman district,2955,26253
22,Andaman & Nicobar,2019,4,south andaman district,22202,139646
23,Andaman & Nicobar,2019,4,nicobars district,803,11113
24,Andaman & Nicobar,2020,1,north and middle andaman district,3315,30444
25,Andaman & Nicobar,2020,1,south andaman district,24174,151529
26,Andaman & Nicobar,2020,1,nicobars district,879,11613
27,Andaman & Nicobar,2020,2,north and middle andaman district,4100,56992
28,Andaman & Nicobar,2020,2,south andaman district,27626,231071
29,Andaman & Nicobar,2020,2,nicobars district,984,17009
30,Andaman & Nicobar,2020,3,north and middle andaman district,5355,76553
31,Andaman & Nicobar,2020,3,south andaman district,34833,417785
32,Andaman & Nicobar,2020,3,nicobars district,1147,21227
33,Andaman & Nicobar,2020,4,north and middle andaman district,7076,125915
34,Andaman & Nicobar,2020,4,south andaman district,43908,725321
35,Andaman & Nicobar,2020,4,nicobars district,1412,35972
36,Andaman & Nicobar,2021,1,north and middle andaman district,7833,121680
37,Andaman & Nicobar,2021,1,south andaman district,48352,837589
38,Andaman & Nicobar,2021,1,nicobars district,1573,45067
39,Andaman & Nicobar,2021,2,north and middle andaman district,8493,596182
40,Andaman & Nicobar,2021,2,south andaman district,51903,1270226
41,Andaman & Nicobar,2021,2,nicobars district,1699,381815
42,Andaman & Nicobar,2021,3,north and middle andaman district,9263,759314
43,Andaman & Nicobar,2021,3,south andaman district,55873,1771107
44,Andaman & Nicobar,2021,3,nicobars district,1846,591204
45,Andaman & Nicobar,2021,4,north and middle andaman district,10002,171921
46,Andaman & Nicobar,2021,4,south andaman district,59807,1863037
47,Andaman & Nicobar,2021,4,nicobars district,1971,77952
48,Andaman & Nicobar,2022,1,north and middle andaman district,10720,904869
49,Andaman & Nicobar,2022,1,south andaman district,63487,2368756
50,Andaman & Nicobar,2022,1,nicobars district,2081,573782
51,Andaman & Nicobar,2022,2,north and middle andaman district,11379,963824
52,Andaman & Nicobar,2022,2,south andaman district,66959,3404740
53,Andaman & Nicobar,2022,2,nicobars district,2192,811449
