,States,Years,Quarter,Pincodes,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2020,2,744301,3,565.0
1,Andaman & Nicobar,2020,2,744104,2,513.0
2,Andaman & Nicobar,2020,2,744101,1,282.0
3,Andaman & Nicobar,2020,3,744112,9,3432.0
4,Andaman & Nicobar,2020,3,744105,7,3948.0
5,Andaman & Nicobar,2020,3,744101,5,2194.0
6,Andaman & Nicobar,2020,3,744206,4,1620.0
7,Andaman & Nicobar,2020,3,744107,3,1095.0
8,Andaman & Nicobar,2020,3,744103,3,947.0
9,Andaman & Nicobar,2020,3,744302,3,562.0
10,Andaman & Nicobar,2020,3,744211,2,101.0
11,Andaman & Nicobar,2020,3,744301,2,886.0
12,Andaman & Nicobar,2020,3,744102,2,314.0
13,Andaman & Nicobar,2020,4,744105,25,25659.0
14,Andaman & Nicobar,2020,4,744101,23,29686.0
15,Andaman & Nicobar,2020,4,744103,18,24904.0
16,Andaman & Nicobar,2020,4,744102,17,25073.0
17,Andaman & Nicobar,2020,4,744112,8,10459.0
18,Andaman & Nicobar,2020,4,744106,6,4840.0
19,Andaman & Nicobar,2020,4,744204,6,11659.0
20,Andaman & Nicobar,2020,4,744104,4,10271.0
21,Andaman & Nicobar,2020,4,744206,3,100.0
22,Andaman & Nicobar,2020,4,744205,3,5235.0
23,Andaman & Nicobar,2021,1,744105,47,53060.0
24,Andaman & Nicobar,2021,1,744103,35,39985.0
25,Andaman & Nicobar,2021,1,744101,33,24571.0
26,Andaman & Nicobar,2021,1,744204,25,29635.0
27,Andaman & Nicobar,2021,1,744202,12,17588.0
28,Andaman & Nicobar,2021,1,744102,12,14085.0
29,Andaman & Nicobar,2021,1,744104,9,7310.0
30,Andaman & Nicobar,2021,1,744107,8,9253.0
31,Andaman & Nicobar,2021,1,744205,7,11223.0
32,Andaman & Nicobar,2021,1,744301,7,6612.0
33,Andaman & Nicobar,2021,2,744103,36,33716.0
34,Andaman & Nicobar,2021,2,744101,17,19787.0
35,Andaman & Nicobar,2021,2,744105,15,17163.0
36,Andaman & Nicobar,2021,2,744102,13,10326.0
37,Andaman & Nicobar,2021,2,744204,10,10557.0
38,Andaman & Nicobar,2021,2,744107,8,11459.0
39,Andaman & Nicobar,2021,2,744202,6,9766.0
40,Andaman & Nicobar,2021,2,744104,6,8889.0
41,Andaman & Nicobar,2021,2,744205,6,12669.0
42,Andaman & Nicobar,2021,2,744210,4,9430.0
43,Andaman & Nicobar,2021,3,744105,70,82425.0
44,Andaman & Nicobar,2021,3,744103,44,53909.0
45,Andaman & Nicobar,2021,3,744101,26,29601.0
46,Andaman & Nicobar,2021,3,744102,14,20616.0
47,Andaman & Nicobar,2021,3,744204,13,20075.0
48,Andaman & Nicobar,2021,3,744202,11,18134.0
49,Andaman & Nicobar,2021,3,744112,11,14406.0
50,Andaman & Nicobar,2021,3,744302,8,7247.0
