,States,Years,Quarter,Pincodes,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2020,2,744301,3,565.0
1,andaman-&-nicobar-islands,2020,2,744104,2,513.0
2,andaman-&-nicobar-islands,2020,2,744101,1,282.0
3,andaman-&-nicobar-islands,2020,3,744112,9,3432.0
4,andaman-&-nicobar-islands,2020,3,744105,7,3948.0
5,andaman-&-nicobar-islands,2020,3,744101,5,2194.0
6,andaman-&-nicobar-islands,2020,3,744206,4,1620.0
7,andaman-&-nicobar-islands,2020,3,744107,3,1095.0
8,andaman-&-nicobar-islands,2020,3,744103,3,947.0
9,andaman-&-nicobar-islands,2020,3,744302,3,562.0
10,andaman-&-nicobar-islands,2020,3,744211,2,101.0
11,andaman-&-nicobar-islands,2020,3,744301,2,886.0
12,andaman-&-nicobar-islands,2020,3,744102,2,314.0
13,andaman-&-nicobar-islands,2020,4,744105,25,25659.0
14,andaman-&-nicobar-islands,2020,4,744101,23,29686.0
15,andaman-&-nicobar-islands,2020,4,744103,18,24904.0
16,andaman-&-nicobar-islands,2020,4,744102,17,25073.0
17,andaman-&-nicobar-islands,2020,4,744112,8,10459.0
18,andaman-&-nicobar-islands,2020,4,744106,6,4840.0
19,andaman-&-nicobar-islands,2020,4,744204,6,11659.0
20,andaman-&-nicobar-islands,2020,4,744104,4,10271.0
21,andaman-&-nicobar-islands,2020,4,744206,3,100.0
22,andaman-&-nicobar-islands,2020,4,744205,3,5235.0
23,andaman-&-nicobar-islands,2021,1,744105,47,53060.0
24,andaman-&-nicobar-islands,2021,1,744103,35,39985.0
25,andaman-&-nicobar-islands,2021,1,744101,33,24571.0
26,andaman-&-nicobar-islands,2021,1,744204,25,29635.0
27,andaman-&-nicobar-islands,2021,1,744202,12,17588.0
28,andaman-&-nicobar-islands,2021,1,744102,12,14085.0
29,andaman-&-nicobar-islands,2021,1,744104,9,7310.0
30,andaman-&-nicobar-islands,2021,1,744107,8,9253.0
31,andaman-&-nicobar-islands,2021,1,744205,7,11223.0
32,andaman-&-nicobar-islands,2021,1,744301,7,6612.0
33,andaman-&-nicobar-islands,2021,2,744103,36,33716.0
34,andaman-&-nicobar-islands,2021,2,744101,17,19787.0
35,andaman-&-nicobar-islands,2021,2,744105,15,17163.0
36,andaman-&-nicobar-islands,2021,2,744102,13,10326.0
